Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,approved,Gender
586,843,956,470,56,917,682,482,239,770,812,426,542,821,188,279,832,750,25,688,163,226,872,471,344,112,771,543,57,7995,0,Group B
830,24,29,767,513,802,331,193,779,765,899,50,592,542,841,287,600,587,165,857,593,818,593,145,680,63,582,384,304,1073,0,Group B
872,472,809,85,34,295,585,319,751,873,491,46,871,769,886,227,142,794,540,144,949,250,959,165,382,639,633,909,254,9959,0,Group A
903,941,565,231,843,542,893,431,727,49,314,314,232,10,243,928,30,175,808,484,885,847,801,477,887,404,225,423,459,96,0,Group A
293,420,128,262,159,173,786,965,250,674,646,703,623,588,514,195,310,546,847,920,477,373,476,765,646,420,108,445,481,5082,0,Group A
730,940,512,863,416,258,532,344,242,107,905,182,922,259,443,723,285,473,517,495,708,940,892,552,182,829,210,715,716,7363,0,Group A
725,124,876,476,961,903,930,216,427,11,865,623,909,271,815,272,85,334,849,334,570,37,806,428,374,944,458,181,926,167,0,Group B
565,236,121,158,740,477,308,558,378,675,524,570,108,165,522,372,574,830,115,903,770,742,555,404,514,883,821,65,646,3152,0,Group B
612,512,373,197,919,122,691,439,612,566,760,741,585,478,51,827,136,861,707,101,634,255,817,120,622,23,601,883,366,4449,0,Group A
123,583,624,960,930,280,375,915,663,93,498,838,828,479,740,823,306,208,196,709,351,323,425,874,427,117,326,165,584,29,1,Group B
331,888,695,138,203,84,538,71,132,442,469,628,218,71,154,181,451,307,76,266,57,403,705,517,227,966,493,648,326,3191,0,Group A
303,755,838,379,434,176,731,398,609,778,936,832,867,142,883,304,720,423,456,961,800,290,826,288,158,40,916,147,573,5069,0,Group A
168,9,67,816,959,460,317,515,863,462,288,238,638,115,592,782,820,572,328,237,323,157,885,205,148,161,689,885,3,5844,0,Group A
56,852,902,37,430,831,763,209,948,411,362,968,396,396,329,762,766,345,566,695,408,665,598,881,831,36,575,108,908,8719,0,Group A
433,293,423,708,419,205,883,321,555,37,285,804,568,694,94,323,647,522,858,700,346,884,245,211,533,872,222,869,194,6557,0,Group B
277,230,805,389,62,256,153,750,911,921,343,205,360,788,65,140,252,37,322,914,179,309,353,649,30,356,691,259,945,8396,0,Group B
571,268,566,90,923,922,551,87,172,899,346,47,58,344,442,335,153,324,963,200,533,487,609,206,93,581,370,327,763,739,1,Group B
906,453,395,580,344,187,561,61,626,38,150,332,522,527,620,30,353,531,680,878,706,783,920,257,76,650,667,710,656,3755,0,Group A
213,77,888,784,821,851,393,306,890,629,754,404,42,712,623,121,7,72,547,3,948,714,366,173,688,860,341,742,176,826,0,Group A
847,601,454,234,290,529,547,501,946,463,192,290,659,522,202,843,385,608,948,281,633,78,876,780,598,628,951,422,114,1109,0,Group A
864,491,701,951,466,300,787,277,679,841,706,667,686,25,735,179,322,735,399,755,305,453,710,68,548,680,516,881,647,3119,0,Group B
78,73,716,95,199,815,460,479,370,79,440,263,34,874,5,912,529,953,60,564,122,449,804,129,742,859,957,432,149,9357,0,Group B
232,660,137,520,15,75,112,539,762,841,425,236,373,188,542,253,528,410,554,657,784,381,302,223,110,915,958,437,19,8163,0,Group A
691,33,368,899,7,698,635,647,368,475,290,1,708,189,424,326,254,841,580,147,823,521,193,172,520,19,99,9,256,7453,0,Group A
275,349,783,518,845,670,755,864,303,76,460,289,3,350,718,89,735,379,48,422,181,222,494,3,731,78,711,372,488,9754,0,Group A
116,46,766,443,637,557,236,318,171,517,330,607,158,900,810,547,797,439,400,771,249,619,671,131,358,943,790,254,765,3577,0,Group A
690,36,639,662,824,794,339,889,681,887,421,742,95,269,415,447,141,292,613,752,400,563,938,349,888,894,788,652,630,9702,0,Group B
483,373,449,425,713,808,313,473,678,636,466,471,789,263,439,561,713,438,325,397,64,618,173,315,914,438,573,410,221,4834,0,Group B
36,737,123,369,437,453,772,761,876,805,874,564,221,195,611,24,446,88,330,367,54,290,416,351,400,935,120,415,722,4647,0,Group A
124,318,209,460,665,284,379,844,808,172,240,229,482,930,656,222,315,309,101,565,619,669,163,901,99,855,252,7,508,9647,0,Group B
714,627,331,380,97,399,276,812,126,797,159,207,683,847,31,592,84,880,761,684,877,196,57,311,200,692,44,808,388,8433,0,Group B
811,643,502,489,103,600,948,949,8,546,810,869,422,62,307,420,925,670,709,801,531,134,921,864,797,293,719,930,385,5837,0,Group B
675,954,706,473,99,208,523,358,110,413,562,774,496,158,347,405,654,804,408,118,37,3,610,737,642,939,171,660,959,9115,0,Group B
833,758,10,710,852,909,499,16,354,843,639,603,111,829,149,115,942,283,32,665,704,764,442,602,408,615,933,112,430,5412,0,Group B
902,877,99,498,705,637,602,660,403,926,926,362,478,490,575,852,546,484,34,414,419,42,329,263,376,804,62,773,896,7072,0,Group B
529,828,911,531,240,640,107,904,151,439,525,511,418,487,408,728,113,46,902,53,798,149,883,639,24,743,700,422,40,570,0,Group B
84,433,259,812,842,179,842,126,869,851,456,871,704,948,173,465,490,191,664,160,606,640,511,619,53,165,416,688,954,2713,1,Group B
782,118,576,117,597,462,88,25,784,348,587,356,724,7,627,665,938,566,416,215,655,528,393,258,488,109,376,501,210,5557,0,Group A
532,378,787,800,653,639,912,496,868,232,6,669,766,372,499,444,298,732,658,418,88,94,966,935,551,216,692,571,291,3578,0,Group A
