true_label,prediction,sensitive_feature
1,0,group_a
0,0,group_b
0,0,group_a
1,0,group_b
1,0,group_a
1,0,group_b
1,0,group_a
0,0,group_b
0,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
1,0,group_a
1,0,group_b
0,0,group_a
0,0,group_b
1,0,group_a
0,0,group_b
0,0,group_a
1,0,group_b
1,0,group_a
1,0,group_b
1,0,group_a
0,0,group_b
0,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
1,0,group_a
1,0,group_b
1,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
0,0,group_a
0,0,group_b
1,0,group_a
0,0,group_b
1,0,group_a
1,0,group_b
0,0,group_a
1,0,group_b
1,0,group_a
0,0,group_b
1,0,group_a
1,0,group_b
