Gender,ApplicantIncome,LoanAmount,Credit_History,sensitive_feature,true_label,prediction
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
1,9102,427,1,group_b,0,0
0,9102,427,1,group_a,0,1
