Gender,ApplicantIncome,LoanAmount,Credit_History,sensitive_feature,true_label,prediction
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
0.0,9102.0,427.0,1.0,group_a,1,1
1.0,9102.0,427.0,1.0,group_b,1,1
