0,1,2,3,4,5,6,7,8,9,sensitive_feature,true_label,prediction
84.44,75.8,42.06,25.89,51.13,40.49,78.38,30.33,47.66,58.34,group_b,1,1
13.44,84.74,76.38,25.51,49.54,44.95,65.16,78.87,9.39,2.83,group_a,1,1
95.6,94.78,5.66,8.49,83.55,73.6,66.97,30.81,60.59,60.68,group_a,1,1
23.8,54.42,37.0,60.39,62.57,6.55,1.32,83.75,25.94,23.43,group_b,1,1
23.6,10.32,39.61,15.5,6.65,40.16,91.8,80.05,76.52,22.19,group_a,1,1
62.29,74.18,79.52,94.25,73.99,92.23,2.9,46.56,94.34,64.9,group_a,1,1
79.33,82.2,48.5,26.16,0.05,66.28,47.03,75.97,37.32,77.01,group_b,1,1
32.38,15.08,65.09,7.24,53.59,36.57,5.8,50.74,3.75,43.36,group_a,0,1
22.67,96.23,12.63,70.48,8.52,24.74,99.91,20.94,64.19,45.91,group_a,1,1
46.3,37.33,13.85,86.66,0.64,50.28,89.83,8.08,55.43,61.67,group_b,0,1
57.14,42.89,57.81,20.61,81.33,82.36,65.35,16.02,52.07,32.78,group_a,1,1
45.24,55.98,92.42,46.57,50.78,58.74,18.47,51.19,62.99,79.3,group_a,0,1
47.46,65.75,66.64,14.26,1.09,37.48,27.4,81.03,69.06,60.15,group_b,1,1
25.9,68.53,68.41,84.93,18.57,23.06,14.72,22.52,73.4,13.02,group_a,1,1
10.68,70.26,65.2,94.04,27.11,25.58,73.41,65.85,30.3,68.42,group_a,1,1
96.52,1.17,73.6,15.8,98.63,1.69,87.95,68.14,85.73,99.98,group_b,1,1
36.15,48.05,41.7,44.68,40.95,65.77,25.89,63.5,1.01,30.2,group_a,1,1
52.2,80.67,96.05,28.96,76.61,70.42,66.14,11.02,2.69,38.42,group_a,1,1
18.13,66.14,33.46,19.79,48.95,49.4,47.98,45.83,26.45,25.38,group_b,1,1
67.71,78.49,52.05,51.15,39.35,99.68,28.94,14.83,26.11,26.04,group_a,1,1
90.56,68.63,76.65,90.46,25.98,63.57,90.49,87.21,57.29,16.94,group_a,1,1
16.49,68.98,63.5,47.91,21.6,79.26,80.79,51.25,50.51,23.61,group_b,0,1
95.82,14.04,2.36,99.86,18.43,12.06,65.14,34.56,88.96,23.17,group_a,1,1
92.49,94.86,89.24,8.36,59.2,42.37,53.01,13.03,19.2,44.46,group_a,1,1
71.23,83.98,18.26,99.83,19.41,67.09,9.18,75.77,15.13,70.66,group_b,1,1
37.7,92.68,84.34,21.4,87.17,63.65,4.24,95.3,25.57,30.59,group_a,1,1
74.73,20.28,20.52,60.08,5.68,77.63,76.44,4.17,68.34,50.27,group_a,1,1
64.85,70.14,95.7,19.64,6.54,82.43,33.31,37.24,81.49,18.33,group_b,1,1
11.3,13.09,59.73,17.8,13.25,46.41,41.76,21.33,39.17,84.23,group_a,0,1
54.81,34.58,84.49,28.86,51.03,34.38,41.55,97.39,10.37,44.47,group_a,1,1
53.91,28.92,3.0,65.36,21.0,25.73,39.72,64.16,98.88,46.15,group_b,1,1
