Gender,ApplicantIncome,LoanAmount,Credit_History,sensitive_feature,true_label,prediction
6.0,33781.0,321225.0,366.0,group_b,0,0
2.0,68651.0,116543.0,612.0,group_a,0,1
0.0,96002.0,61124.0,812.0,group_a,1,1
3.0,39419.0,585332.0,333.0,group_b,0,0
3.0,59938.0,127044.0,672.0,group_a,1,1
9.0,106740.0,147227.0,811.0,group_a,1,1
9.0,22640.0,554297.0,495.0,group_b,0,0
5.0,54943.0,203500.0,663.0,group_a,0,1
3.0,114275.0,99200.0,752.0,group_a,1,1
7.0,32232.0,440055.0,335.0,group_b,0,0
9.0,51067.0,212430.0,641.0,group_a,1,1
7.0,146737.0,123370.0,839.0,group_a,1,1
7.0,28814.0,577416.0,470.0,group_b,0,0
4.0,59527.0,279636.0,696.0,group_a,1,1
1.0,130362.0,142089.0,783.0,group_a,1,1
3.0,20381.0,573320.0,488.0,group_b,1,0
5.0,65375.0,225955.0,616.0,group_a,1,1
8.0,117142.0,89770.0,813.0,group_a,1,1
2.0,24024.0,535313.0,385.0,group_b,0,0
10.0,51417.0,236437.0,595.0,group_a,1,1
10.0,141555.0,69818.0,786.0,group_a,1,1
2.0,33696.0,519168.0,462.0,group_b,0,0
2.0,57950.0,106190.0,658.0,group_a,1,1
4.0,148486.0,60951.0,724.0,group_a,1,1
6.0,39096.0,395730.0,355.0,group_b,0,0
6.0,75181.0,104020.0,607.0,group_a,1,1
3.0,133220.0,76890.0,830.0,group_a,1,1
10.0,35724.0,445342.0,545.0,group_b,0,0
1.0,74325.0,134302.0,649.0,group_a,1,1
8.0,94988.0,95328.0,793.0,group_a,0,1
8.0,29476.0,315747.0,459.0,group_b,0,0
0.0,65387.0,129464.0,677.0,group_a,1,1
1.0,103999.0,68958.0,797.0,group_a,1,1
9.0,25480.0,422273.0,509.0,group_b,0,0
8.0,61700.0,253550.0,583.0,group_a,1,1
8.0,111978.0,148374.0,753.0,group_a,1,1
5.0,21912.0,310931.0,545.0,group_b,0,0
10.0,69914.0,124013.0,699.0,group_a,1,1
10.0,117598.0,106232.0,746.0,group_a,0,1
3.0,28508.0,502059.0,306.0,group_b,0,0
7.0,68988.0,237356.0,584.0,group_a,1,1
6.0,111772.0,80240.0,762.0,group_a,1,1
10.0,23648.0,313112.0,489.0,group_b,0,0
0.0,59374.0,282511.0,677.0,group_a,0,1
6.0,124080.0,121037.0,749.0,group_a,1,1
4.0,33686.0,555867.0,365.0,group_b,1,0
1.0,63107.0,110475.0,655.0,group_a,1,1
5.0,94097.0,106385.0,836.0,group_a,1,1
8.0,30336.0,369149.0,442.0,group_b,0,0
1.0,61283.0,208329.0,699.0,group_a,0,1
7.0,146078.0,84887.0,813.0,group_a,1,1
3.0,36456.0,589558.0,341.0,group_b,0,0
4.0,51786.0,290227.0,645.0,group_a,1,1
9.0,145915.0,78318.0,836.0,group_a,1,1
2.0,34383.0,591540.0,376.0,group_b,0,0
1.0,56430.0,139314.0,674.0,group_a,1,1
8.0,90753.0,112085.0,797.0,group_a,1,1
0.0,32050.0,310124.0,357.0,group_b,0,0
9.0,56460.0,153929.0,674.0,group_a,1,1
3.0,95544.0,135267.0,837.0,group_a,0,1
4.0,29287.0,380812.0,367.0,group_b,0,0
7.0,55954.0,245933.0,607.0,group_a,1,1
9.0,101339.0,58539.0,780.0,group_a,1,1
7.0,34556.0,454187.0,538.0,group_b,0,0
7.0,54091.0,265208.0,658.0,group_a,1,1
6.0,108929.0,87709.0,776.0,group_a,1,1
1.0,30223.0,527849.0,536.0,group_b,0,0
1.0,53804.0,207055.0,639.0,group_a,1,1
7.0,135193.0,147963.0,848.0,group_a,0,1
10.0,21222.0,350246.0,505.0,group_b,0,0
1.0,59636.0,284300.0,638.0,group_a,1,1
5.0,123322.0,131268.0,722.0,group_a,1,1
1.0,39476.0,397657.0,388.0,group_b,0,0
4.0,54004.0,231633.0,641.0,group_a,1,1
9.0,123769.0,64891.0,801.0,group_a,0,1
7.0,39162.0,528914.0,416.0,group_b,1,0
5.0,65180.0,202142.0,605.0,group_a,1,1
4.0,111358.0,75862.0,781.0,group_a,1,1
3.0,23146.0,457398.0,536.0,group_b,0,0
2.0,64336.0,191622.0,656.0,group_a,1,1
4.0,115817.0,121028.0,827.0,group_a,1,1
8.0,34853.0,477255.0,442.0,group_b,0,0
2.0,75211.0,228423.0,644.0,group_a,1,1
7.0,145298.0,110282.0,742.0,group_a,0,1
4.0,21223.0,556447.0,301.0,group_b,0,0
3.0,72980.0,261232.0,684.0,group_a,0,1
0.0,126451.0,91612.0,723.0,group_a,1,1
2.0,26198.0,583402.0,326.0,group_b,0,0
6.0,56209.0,187243.0,695.0,group_a,1,1
1.0,140320.0,129534.0,786.0,group_a,0,1
3.0,23037.0,552197.0,468.0,group_b,0,0
1.0,69353.0,145186.0,667.0,group_a,1,1
6.0,123829.0,124044.0,788.0,group_a,1,1
7.0,38540.0,485228.0,526.0,group_b,1,0
8.0,55982.0,132537.0,685.0,group_a,1,1
8.0,123673.0,146513.0,752.0,group_a,1,1
