Gender,ApplicantIncome,LoanAmount,Credit_History,sensitive_feature,true_label,prediction
1.0,75000.0,200003.0,720.0,group_a,1,1
0.0,75001.0,200003.0,723.0,group_b,1,1
1.0,75003.0,199997.0,717.0,group_a,1,1
0.0,75001.0,200001.0,718.0,group_b,1,1
-4.0,74999.0,199997.0,722.0,group_a,1,1
3.0,74999.0,200002.0,719.0,group_b,1,1
1.0,75001.0,200003.0,717.0,group_a,1,1
1.0,74998.0,200000.0,722.0,group_b,1,1
-4.0,74999.0,200000.0,718.0,group_a,1,1
2.0,75001.0,199999.0,719.0,group_b,1,1
-1.0,74997.0,200000.0,720.0,group_a,1,1
2.0,75003.0,200001.0,723.0,group_b,1,1
-2.0,74999.0,200002.0,721.0,group_a,1,1
1.0,74999.0,200002.0,722.0,group_b,1,1
-5.0,75001.0,200002.0,723.0,group_a,1,1
0.0,74997.0,200001.0,722.0,group_b,1,1
-3.0,75000.0,200000.0,719.0,group_a,1,1
3.0,75000.0,200003.0,719.0,group_b,1,1
-4.0,74997.0,200002.0,720.0,group_a,1,1
4.0,74997.0,200003.0,721.0,group_b,1,1
0.0,75002.0,200003.0,723.0,group_a,1,1
0.0,75000.0,200002.0,720.0,group_b,1,1
-4.0,74998.0,199997.0,721.0,group_a,1,1
5.0,74999.0,200003.0,717.0,group_b,1,1
0.0,75000.0,200003.0,721.0,group_a,1,1
2.0,75003.0,200003.0,723.0,group_b,1,1
0.0,74998.0,200002.0,718.0,group_a,1,1
4.0,75000.0,200002.0,719.0,group_b,1,1
-5.0,75002.0,199998.0,721.0,group_a,1,1
3.0,74997.0,199999.0,721.0,group_b,1,1
-1.0,75003.0,199999.0,721.0,group_a,1,1
-1.0,75000.0,199997.0,723.0,group_b,1,1
-5.0,74998.0,199998.0,719.0,group_a,1,1
3.0,74998.0,200002.0,718.0,group_b,1,1
-1.0,74999.0,200001.0,717.0,group_a,1,1
3.0,74999.0,200003.0,718.0,group_b,1,1
-3.0,74997.0,199997.0,723.0,group_a,1,1
4.0,75001.0,199997.0,721.0,group_b,1,1
0.0,75000.0,200000.0,723.0,group_a,1,1
0.0,74999.0,200000.0,717.0,group_b,1,1
-2.0,75001.0,200001.0,717.0,group_a,1,1
2.0,74999.0,199998.0,718.0,group_b,1,1
0.0,74997.0,199997.0,722.0,group_a,1,1
-1.0,74999.0,200002.0,723.0,group_b,1,1
-2.0,75001.0,200001.0,722.0,group_a,1,1
1.0,75000.0,200000.0,719.0,group_b,1,1
-5.0,75000.0,199997.0,721.0,group_a,1,1
1.0,74997.0,200000.0,721.0,group_b,1,1
-1.0,74999.0,199998.0,721.0,group_a,1,1
-1.0,74999.0,200000.0,717.0,group_b,1,1
-2.0,75003.0,199999.0,719.0,group_a,1,1
0.0,75003.0,200001.0,721.0,group_b,1,1
-3.0,74997.0,200002.0,721.0,group_a,1,1
3.0,75003.0,199998.0,720.0,group_b,1,1
-4.0,75000.0,200001.0,719.0,group_a,1,1
-1.0,74998.0,199998.0,722.0,group_b,1,1
1.0,75001.0,199997.0,720.0,group_a,1,1
-1.0,74999.0,200001.0,721.0,group_b,1,1
-1.0,74998.0,199998.0,722.0,group_a,1,1
0.0,74997.0,200002.0,720.0,group_b,1,1
-3.0,74999.0,200001.0,718.0,group_a,1,1
2.0,74998.0,200001.0,718.0,group_b,1,1
-1.0,74998.0,199997.0,723.0,group_a,1,1
2.0,75000.0,199999.0,719.0,group_b,1,1
-2.0,74997.0,200002.0,721.0,group_a,1,1
2.0,74999.0,199999.0,721.0,group_b,1,1
-5.0,74999.0,200000.0,718.0,group_a,1,1
-1.0,74997.0,200003.0,720.0,group_b,1,1
