true_label,prediction,sensitive_feature
0,0,1833
0,0,9611
0,0,5593
0,0,2004
0,0,2094
0,0,355
0,0,1001
0,0,1133
0,0,2609
0,0,9319
0,0,2249
0,0,194
0,0,1868
0,0,2404
0,0,7540
0,0,894
0,0,4014
0,0,9188
0,0,9557
0,0,3844
0,0,7884
0,0,3021
0,0,5433
0,0,8175
0,0,606
0,0,6104
0,0,3284
0,0,3985
0,0,2625
0,0,1130
0,0,2751
0,0,9320
0,0,3359
0,0,9696
0,0,2129
0,0,9738
0,0,8584
0,0,27
0,0,7319
0,0,5644
0,0,5036
0,0,8115
0,0,4569
0,0,6497
0,0,9334
0,0,3351
0,0,7691
0,0,8078
0,0,9257
0,0,1403
0,0,7510
0,0,5719
0,0,1202
0,0,6907
0,0,9560
0,0,3279
0,0,4877
0,0,3767
0,0,9612
0,0,8316
0,0,6195
0,0,4208
0,0,9705
0,0,5956
0,0,7759
0,0,5866
0,0,5475
0,0,2795
0,0,3808
0,0,182
0,0,9499
0,0,1490
0,0,8850
0,0,8834
0,0,1150
0,0,8821
0,0,8095
0,0,8528
0,0,6853
0,0,4946
0,0,5727
0,0,2272
0,0,3203
0,0,8933
0,0,5314
0,0,2542
0,0,4011
0,0,6093
0,0,2648
0,0,8121
0,0,4810
0,0,9193
0,0,7967
0,0,2932
0,0,4859
0,0,1994
0,0,4995
0,0,6590
0,0,8394
0,0,3972
0,0,1706
0,0,7928
0,0,3760
0,0,376
0,0,1047
0,0,3052
0,0,5933
0,0,9337
0,0,3770
0,0,9479
0,0,492
0,0,1033
0,0,8302
0,0,1353
0,0,4114
0,0,2984
0,0,9296
0,0,7786
0,0,5375
0,0,6862
0,0,2252
0,0,1473
0,0,4520
0,0,945
0,0,3596
0,0,9223
0,0,8415
0,0,3971
0,0,2112
0,0,8556
0,0,2137
0,0,4949
0,0,4505
0,0,4398
0,0,4182
0,0,4340
0,0,7803
0,0,8018
0,0,56
0,0,1242
0,0,3211
0,0,6605
0,0,3078
0,0,8738
0,0,76
0,0,9346
0,0,3345
0,0,619
0,0,5523
0,0,214
0,0,1658
0,0,1617
0,0,6844
0,0,763
0,0,1704
0,0,706
0,0,2162
0,0,7884
0,0,8814
0,0,9362
0,0,9501
0,0,3445
0,0,6284
0,0,6692
0,0,378
0,0,5233
0,0,9294
0,0,5104
0,0,3018
0,0,3961
0,0,5392
0,0,5932
0,0,3355
0,0,8877
0,0,2086
0,0,8994
0,0,8983
0,0,2354
0,0,8870
0,0,5938
0,0,4354
0,0,5060
0,0,1621
0,0,7276
0,0,8208
0,0,5386
0,0,8470
0,0,2216
0,0,8032
0,0,9486
0,0,5744
0,0,4312
0,0,6299
0,0,656
0,0,8134
0,0,7075
0,0,270
0,0,7067
0,0,1157
0,0,7182
0,0,7745
0,0,2931
0,0,7927
0,0,6578
0,0,1851
0,0,8933
0,0,8443
0,0,1406
0,0,9927
0,0,8363
0,0,5977
0,0,7196
0,0,8096
0,0,7453
0,0,681
0,0,5404
0,0,5629
0,0,6038
0,0,94
0,0,1944
0,0,1452
0,0,6485
0,0,130
0,0,145
0,0,2117
0,0,9103
0,0,3203
0,0,2944
0,0,1270
0,0,3640
0,0,2956
0,0,8161
0,0,2305
0,0,2316
0,0,494
0,0,6593
0,0,8997
0,0,4020
0,0,7452
0,0,6763
0,0,8592
0,0,2299
0,0,8431
0,0,7061
0,0,3355
0,0,3682
0,0,6100
0,0,2522
0,0,7632
0,0,4283
0,0,7337
0,0,6313
0,0,8887
0,0,6434
0,0,3885
0,0,6180
0,0,3596
0,0,8443
0,0,3588
0,0,1178
0,0,9453
0,0,6178
0,0,8128
0,0,1464
0,0,6164
0,0,3662
0,0,9216
0,0,1836
0,0,4403
0,0,7838
0,0,8539
0,0,4768
0,0,2261
0,0,9276
0,0,3391
0,0,3031
0,0,7742
0,0,6480
0,0,8623
0,0,3146
0,0,2689
0,0,3936
0,0,1267
0,0,8610
0,0,8178
0,0,1228
0,0,2185
0,0,8774
0,0,538
0,0,936
0,0,5174
0,0,3951
0,0,2442
0,0,1567
0,0,8120
0,0,6528
0,0,3733
0,0,9640
0,0,2639
0,0,4457
0,0,7546
0,0,4538
0,0,6210
0,0,2080
0,0,4802
0,0,3834
0,0,7633
0,0,7337
0,0,8973
0,0,2159
0,0,2436
0,0,3424
0,0,1938
0,0,3617
0,0,5087
0,0,4205
0,0,9417
0,0,5121
0,0,5949
0,0,5142
0,0,9367
0,0,18
0,0,4520
0,0,1568
0,0,1427
0,0,1907
0,0,9389
0,0,7457
0,0,9476
0,0,3293
0,0,6131
0,0,7373
0,0,2052
0,0,3974
0,0,4602
0,0,3503
0,0,8227
0,0,204
0,0,830
0,0,361
0,0,174
0,0,5956
0,0,6374
0,0,3882
0,0,9904
0,0,8067
0,0,6808
0,0,2106
0,0,9987
0,0,4118
0,0,7906
0,0,3154
0,0,4719
0,0,2376
0,0,8262
0,0,3282
0,0,358
0,0,6070
0,0,2609
0,0,1976
0,0,5701
0,0,149
0,0,905
0,0,7835
0,0,7500
0,0,4562
0,0,4753
0,0,6267
0,0,3641
0,0,2492
0,0,4399
0,0,6587
0,0,4303
0,0,5098
0,0,3508
0,0,5628
0,0,6042
0,0,8583
0,0,1174
0,0,7103
0,0,8753
0,0,1120
0,0,6354
0,0,8819
0,0,7260
0,0,5533
0,0,166
0,0,1727
0,0,704
0,0,2849
0,0,9281
0,0,1404
0,0,7973
0,0,1003
0,0,2154
0,0,7863
0,0,2074
0,0,1263
0,0,9685
0,0,8630
0,0,9319
0,0,2091
0,0,3624
0,0,9611
0,0,5443
0,0,9830
0,0,6179
0,0,6521
0,0,199
0,0,3428
0,0,6201
0,0,1242
0,0,4219
0,0,2486
0,0,1023
0,0,9329
0,0,7221
0,0,3270
0,0,3211
0,0,641
0,0,9209
0,0,1488
0,0,8363
0,0,310
0,0,4910
0,0,3584
0,0,9307
0,0,4960
0,0,2618
0,0,6264
0,0,4639
0,0,5572
0,0,590
0,0,383
0,0,8274
0,0,7070
0,0,2638
0,0,3443
0,0,7563
0,0,3304
0,0,9854
0,0,3127
0,0,114
0,0,8048
0,0,281
0,0,4934
0,0,1421
0,0,9047
0,0,44
0,0,7998
0,0,5059
0,0,6193
0,0,5501
0,0,8252
0,0,5794
0,0,4422
0,0,6882
0,0,3532
0,0,2176
0,0,1088
0,0,3302
0,0,7283
0,0,3649
0,0,179
0,0,5546
0,0,2459
0,0,7265
0,0,3764
0,0,4563
0,0,8410
0,0,4141
0,0,6687
0,0,5869
0,0,3918
0,0,8349
0,0,9014
0,0,4638
0,0,5785
0,0,2515
0,0,9614
0,0,7797
0,0,5058
0,0,7463
0,0,3659
0,0,6854
0,0,4909
0,0,6543
0,0,3019
0,0,7510
0,0,9742
0,0,8968
0,0,5408
0,0,9625
0,0,2505
0,0,824
0,0,9928
0,0,9282
0,0,8271
0,0,2345
0,0,1418
0,0,9164
0,0,529
0,0,7639
0,0,1841
0,0,8009
0,0,8577
0,0,9455
0,0,8394
0,0,3322
0,0,723
0,0,8821
0,0,3626
0,0,2971
0,0,3199
0,0,5523
0,0,1699
0,0,1139
0,0,1978
0,0,2318
0,0,5622
0,0,8055
0,0,1902
0,0,4419
0,0,5631
0,0,4788
0,0,1094
0,0,6766
0,0,7822
0,0,2055
0,0,8611
0,0,1937
0,0,5578
0,0,4747
0,0,9378
0,0,8261
0,0,9839
0,0,7125
0,0,6375
0,0,8644
0,0,7764
0,0,2675
0,0,9364
0,0,2254
0,0,7376
0,0,6036
0,0,3253
0,0,5761
0,0,782
0,0,1824
0,0,5734
0,0,8681
0,0,4226
0,0,1221
0,0,9784
0,0,4944
0,0,6445
0,0,8821
0,0,1304
0,0,415
0,0,3263
0,0,8317
0,0,607
0,0,485
0,0,5765
0,0,8469
0,0,4708
0,0,7288
0,0,8123
0,0,1646
0,0,6013
0,0,3818
0,0,4494
0,0,3522
0,0,5634
0,0,7205
0,0,6159
0,0,1506
0,0,8671
0,0,8969
0,0,8922
0,0,2492
0,0,7617
0,0,2808
0,0,7666
0,0,7809
0,0,3562
0,0,7686
0,0,7386
0,0,8865
0,0,9816
0,0,3911
0,0,8465
0,0,3918
0,0,8682
0,0,4144
0,0,8143
0,0,7857
0,0,4315
0,0,417
0,0,5319
0,0,5023
0,0,5764
0,0,6279
0,0,7550
0,0,6825
0,0,8371
0,0,3687
0,0,9745
0,0,9673
0,0,3909
0,0,6624
0,0,350
0,0,3999
0,0,618
0,0,3226
0,0,5901
0,0,1292
0,0,4017
0,0,1341
0,0,2647
0,0,5862
0,0,5200
0,0,1277
0,0,6152
0,0,3190
0,0,3052
0,0,3467
0,0,3043
0,0,4456
0,0,8842
0,0,7711
0,0,1125
0,0,3131
0,0,7439
0,0,5608
0,0,8221
0,0,826
0,0,903
0,0,5827
0,0,7088
0,0,3378
0,0,3317
0,0,413
0,0,8443
0,0,8853
0,0,1088
0,0,8054
0,0,7504
0,0,9707
0,0,9593
0,0,2463
0,0,8830
0,0,1730
0,0,872
0,0,925
0,0,2616
0,0,9817
0,0,6127
0,0,1549
0,0,537
0,0,6113
0,0,3105
0,0,1514
0,0,9189
0,0,3840
0,0,6903
0,0,9533
0,0,2982
0,0,5506
0,0,6756
0,0,5200
0,0,1651
0,0,640
0,0,6064
0,0,913
0,0,584
0,0,4143
0,0,3270
0,0,1763
0,0,512
0,0,4638
0,0,1314
0,0,1975
0,0,4848
0,0,3109
0,0,2819
0,0,8582
0,0,4204
0,0,7650
0,0,1674
0,0,8217
0,0,8626
0,0,3399
0,0,3312
0,0,3773
0,0,5049
0,0,9463
0,0,88
0,0,7273
0,0,9874
0,0,8110
0,0,9590
0,0,3968
0,0,4182
0,0,9877
0,0,7943
0,0,1568
0,0,8050
0,0,9175
0,0,5397
0,0,9680
0,0,3889
0,0,428
0,0,1426
0,0,4248
0,0,2141
0,0,5345
0,0,5972
0,0,8948
0,0,4553
0,0,5489
0,0,9176
0,0,9
0,0,1315
0,0,1303
0,0,7885
0,0,4169
0,0,9191
0,0,7092
0,0,5444
0,0,6879
0,0,728
0,0,340
0,0,2051
0,0,6065
0,0,1783
0,0,2434
0,0,2283
0,0,4003
0,0,5387
0,0,8743
0,0,3497
0,0,9707
0,0,164
0,0,3563
0,0,8960
0,0,9086
0,0,1401
0,0,9738
0,0,8577
0,0,742
0,0,3626
0,0,6711
0,0,662
0,0,5809
0,0,8816
0,0,1350
0,0,4021
0,0,1257
0,0,6693
0,0,7946
0,0,7433
0,0,6123
0,0,2945
0,0,7911
0,0,2087
0,0,5889
0,0,2228
0,0,9894
0,0,6721
0,0,79
0,0,3712
0,0,3132
0,0,6756
0,0,5928
0,0,9414
0,0,4988
0,0,2033
0,0,8075
0,0,3906
0,0,7252
0,0,6632
0,0,2515
0,0,606
0,0,9044
0,0,9841
0,0,5410
0,0,4749
0,0,8141
0,0,7615
0,0,2527
0,0,8724
0,0,2585
0,0,7957
0,0,4220
0,0,5456
0,0,1955
0,0,8493
0,0,2008
0,0,2414
0,0,9614
0,0,9939
0,0,2133
0,0,3677
0,0,7390
0,0,5252
0,0,5273
0,0,8478
0,0,1315
0,0,7725
0,0,1858
0,0,205
0,0,5573
0,0,327
0,0,2251
0,0,561
0,0,8007
0,0,2373
0,0,192
0,0,689
0,0,9873
0,0,9786
0,0,2472
0,0,2385
0,0,7206
0,0,378
0,0,8975
0,0,4832
0,0,9157
0,0,4195
0,0,578
0,0,3490
0,0,8280
0,0,6928
0,0,589
0,0,2910
0,0,6199
0,0,6788
0,0,7655
0,0,8529
0,0,9190
0,0,2251
0,0,5915
0,0,5756
0,0,4328
0,0,8120
0,0,6411
0,0,5724
0,0,4965
0,0,5613
0,0,7689
0,0,1290
0,0,2726
0,0,3001
0,0,9745
0,0,1318
0,0,5467
0,0,1981
0,0,9339
0,0,9438
0,0,9161
0,0,8088
0,0,868
0,0,1100
0,0,365
0,0,8496
0,0,615
0,0,2156
0,0,458
0,0,7519
0,0,7745
0,0,7975
0,0,7216
0,0,5952
0,0,5461
0,0,8885
0,0,6599
0,0,7219
0,0,5506
0,0,6215
0,0,6163
0,0,6972
0,0,6132
0,0,9324
0,0,8787
0,0,630
0,0,8388
0,0,4191
0,0,9719
0,0,9977
0,0,4026
0,0,1244
0,0,2334
0,0,6280
0,0,6821
0,0,5931
0,0,5864
0,0,3461
0,0,6406
0,0,8847
0,0,3376
0,0,9161
0,0,7556
0,0,2656
0,0,7694
0,0,2398
0,0,1277
0,0,597
0,0,9647
0,0,9788
0,0,3800
0,0,6558
0,0,4044
0,0,5153
0,0,5304
0,0,3558
0,0,2632
0,0,6294
0,0,2221
0,0,5378
0,0,6719
0,0,9742
0,0,3946
0,0,714
0,0,1631
0,0,7397
0,0,9402
0,0,942
0,0,4598
0,0,5747
0,0,5183
0,0,6981
0,0,5281
0,0,14
0,0,4435
0,0,3196
0,0,1268
0,0,68
0,0,6565
0,0,3532
0,0,5078
0,0,2355
0,0,9467
0,0,1782
0,0,6973
0,0,3094
0,0,3232
0,0,7997
0,0,7475
0,0,4068
0,0,8644
0,0,2731
0,0,4961
0,0,8721
0,0,6685
0,0,4181
0,0,6478
0,0,4567
0,0,1931
0,0,8465
0,0,8839
0,0,1781
0,0,1669
0,0,9115
0,0,6854
0,0,4672
0,0,4052
0,0,4587
0,0,8174
0,0,9878
0,0,5343
0,0,3831
0,0,7459
0,0,3074
0,0,3066
0,0,3117
0,0,252
0,0,2570
0,0,5617
0,0,3502
0,0,4434
0,0,4809
0,0,861
0,0,7940
0,0,1469
0,0,3012
0,0,2467
0,0,8455
0,0,1944
0,0,8989
0,0,3081
0,0,4180
0,0,599
0,0,4673
0,0,419
0,0,8685
0,0,5471
0,0,183
0,0,3493
0,0,2183
